path,hash_id,documentType
belgium/Decisions,c12c660d514a9a375a036408a25d514a,needProcess
belgium/Decisions,2c83b78db68595e4ea7fe8026d606eda,GDPR
belgium/Decisions,b7aa35ffb6c2c193e4b75588f6952b03,non-GDPR
belgium/Decisions,45a75fbb1145555bc1fecc1a56611a74,GDPR
belgium/Decisions,4815093b35b121968dbea0823a50dc7a,needProcess
belgium/Decisions,22494ad3e1be97d4c44a3fa0403db99e,needProcess
belgium/Decisions,9d3bcb721518c769743ea7cfe9229ba2,GDPR
belgium/Decisions,2d221e47fafc4dfb5aa681e2c029817e,needProcess
belgium/Decisions,8ecd38a93d48d3e96766bdd7c0022bcc,GDPR
belgium/Decisions,740443333ae72b0ae26e07fd5dedd980,GDPR
belgium/Decisions,c49261da80629a1296bd3625d2f5ab08,GDPR
belgium/Decisions,1f56731e0a4ececbff30e251479a8498,needProcess
belgium/Decisions,5d918dff31daef5967f87d7fa7e9defd,GDPR
belgium/Decisions,098435e8169bf938514ef5ab9e88e46f,GDPR
belgium/Decisions,29d0c4223ac7cc74b4e94d20553e82de,GDPR
belgium/Decisions,18492d42f6b45b0dae34151ec4122f79,non-GDPR
belgium/Decisions,328eedf69a63de9884c3ab3001f1e473,GDPR
belgium/Decisions,aa0a5411619c25a52ee9c0ee086e47dd,GDPR
belgium/Decisions,369047f85d3c93e4dd7ecf8bc7b4b466,GDPR
belgium/Decisions,184db5709982a70d342f21109481aac2,GDPR
belgium/Decisions,3c159384ec002349dc6a300c9425a68b,needProcess
belgium/Decisions,cc6094d52accb7a41c1314b7ef3991a8,needProcess
belgium/Decisions,af03c2f8fdc1d14b3b9b8f39338ceeb5,GDPR
belgium/Decisions,232f8d5b3bd7eb6c951bf94fcb65272a,GDPR
belgium/Decisions,10006a683bed855c9ba50854a236539d,needProcess
belgium/Decisions,c3cf31dea2c419c3e38d48b248393406,needProcess
belgium/Decisions,4a539bc7aaf8a2de8cba539a16bd22a9,needProcess
belgium/Decisions,3c947d5df9251eca73ec359128d1ead4,GDPR
belgium/Decisions,5df03a86280500bd4b823710dd6c9db6,GDPR
belgium/Decisions,b0de610a7b2a4fb516c8cc8beb7d3a04,needProcess
belgium/Decisions,97dce6559cb436a113cf4b2139a8889e,non-GDPR
belgium/Decisions,362495ba0418c570ea248754353b39e6,GDPR
belgium/Decisions,83f9b8d0f2dc0b9fe9a62f1360067f60,GDPR
belgium/Decisions,fd47aa07f3aaca60a729442dd4864c89,needProcess
belgium/Decisions,75f6048486bff2d533eb541e008d9294,GDPR
belgium/Decisions,3a6d1adef9aec7c26c64d227817a9217,needProcess
belgium/Decisions,9c3f747cfb0e65d25eb1be2bbb649465,GDPR
belgium/Decisions,17912b827c74b1c5be4b776aaa169581,needProcess
belgium/Decisions,d2fc442492f1c507207fca33ee95c6c3,GDPR
belgium/Decisions,2df2db70bbf57602cf77c85566116266,needProcess
belgium/Decisions,bddd1bceb8784d2ac8a07017f5631bc7,needProcess
belgium/Decisions,9cb281928b0741e9a6a31925a49dbb9a,needProcess
belgium/Decisions,f4b36cb760837c7d20685f9535111ca3,GDPR
belgium/Decisions,ac0d37039b110df00ffd0ffc5cdfbaae,GDPR
belgium/Decisions,b4f1beee9a7e34686560b4293fef6f43,GDPR
belgium/Decisions,b6f69f41b1f4ca3330b86e60e82dda53,GDPR
belgium/Decisions,88a9d746a7c14dc960ea8c572cac3733,GDPR
belgium/Decisions,aa38cfaf88e6f680c52e63b3dc0b1f21,needProcess
belgium/Decisions,a6ebe4c64cba246bc5e4146cd0bdbbb0,GDPR
belgium/Decisions,70adb697484861b30fba392a781ca783,GDPR
belgium/Decisions,8db4fe9ece10b65fa410f6b7f4d393fa,GDPR
belgium/Decisions,581554a52ab846f7e5cfaee0d5eefbb5,GDPR
belgium/Decisions,58ec17fd7501a3e05ab68ac170856e78,needProcess
belgium/Decisions,6c68afe3f0a6efd37dc106efdbc0feb3,needProcess
belgium/Decisions,a6687d560e676a81d2c0704ee6d3440e,GDPR
belgium/Decisions,18b98f9d24a354d4338512601db3bfd1,needProcess
belgium/Decisions,9e73659bdb13ea6efb16fb7b128c2ff6,needProcess
belgium/Decisions,ddf6f2b59435a3a1d6c7db9d7a189658,GDPR
belgium/Decisions,9fcd5ab9c80fb5fa3a5996648181651e,GDPR
belgium/Decisions,4132b13a33e7b44d3ada99157b08dc26,GDPR
belgium/Decisions,3b6e953d8cfa1f4a1dd4f57bad72d1ee,needProcess
belgium/Decisions,42dcaff533b0b0bc820e13adabe260e3,GDPR
belgium/Decisions,b65a566a54175064eb3a2a12307f64fe,GDPR
belgium/Decisions,6914e745a4dcc7361ba02e001fa106d4,needProcess
belgium/Decisions,fd637ee2682a866cc78da9796bc1fb00,non-GDPR
belgium/Decisions,9af96c9736bbdd3fc4677de0326fd419,GDPR
belgium/Decisions,bfa4a1bce6573fb961ec1defc659e58c,GDPR
belgium/Decisions,3e86732d25f8fdbb7ed4caef994b1fd7,needProcess
belgium/Decisions,1fd710b5e150aad3c66b9372b0f920b5,needProcess
belgium/Decisions,9675d6ed0785116d3d8f3e4225888dc6,GDPR
belgium/Decisions,b4cb05641c10161462c10abbfb0c84c6,non-GDPR
belgium/Decisions,68877fcad6e1849be2048d7d5bccafac,GDPR
belgium/Decisions,89a69f5f34ced42e2a502fb8c681a494,needProcess
belgium/Decisions,ffceee069537b07537d9af66f8e58a65,needProcess
belgium/Decisions,3f808532d2ad4e709abf73bde74d9931,needProcess
belgium/Decisions,8e8e7431300bea94ae258946e985f071,GDPR
belgium/Decisions,03b92416c1acf0c047c2660786854e9f,non-GDPR
belgium/Decisions,0749b014fd70ec584f984e84cd831e8f,GDPR
belgium/Decisions,d067b689a514fb31529125443ffe4b9d,needProcess
belgium/Decisions,91fb09acb333a4b1997546d2653ea648,GDPR
belgium/Decisions,b6b3ede184ff46094e401fcfbc966ac2,GDPR
belgium/Decisions,38ff96bb26b10b0588a5f8698b172330,needProcess
belgium/Decisions,9d9b6a0b8352febfc67ef2863745de52,GDPR
belgium/Decisions,5b4bbcd32449a11d52d3a9b83fe4a5fb,GDPR
belgium/Decisions,95b7ef1b4e352cff73fc912ea43d74ce,needProcess
belgium/Decisions,f36f9a3a42cca56bd520c96196d5ea89,GDPR
belgium/Decisions,f2dd4ff35314a7f8767bcae4b51781b1,GDPR
belgium/Decisions,7771fed41952dd294b10afc20cb2c6fe,non-GDPR
belgium/Decisions,767e6c720bfa1e6fff716cd9a9ba24da,needProcess
belgium/Decisions,06667ebf5a7ac4feb0ff64721f35ed9e,GDPR
belgium/Decisions,ac63db2fcfe8ac8a7b41945c6fe141df,needProcess
belgium/Decisions,518220cbfc4b706b31eb189460fe0674,GDPR
belgium/Decisions,4660a67efa39f6a6e8ebb17ab21a8c35,GDPR
belgium/Decisions,072aea00b2c63e353cd7d9c0b41c3789,GDPR
belgium/Decisions,9b9eaa97a6da6c089e4e224226c2f9bf,GDPR
belgium/Decisions,4f3e758a2325356efcb97c75f2d04901,GDPR
belgium/Decisions,0f9bd49ddaef17893da3fe48e44affda,GDPR
belgium/Decisions,c91c2d5b32721a90f218d31b149a3277,needProcess
belgium/Decisions,3d24792145ff7f0d382cafd0b2a51daf,needProcess
